Names	total	elements
22h_Down 25h_Down 28h_Down 46h_Down	15	Niben261Chr06g0764001.1
		Niben261Chr01g1776017.1
		Niben261Chr06g0779007.1
		Niben261Chr07g0283015.1
		Niben261Chr15g0598002.1
		Niben261Chr13g1203006.1
		Niben261Chr16g0884015.1
		Niben261Chr02g1444003.1
		Niben261Chr06g0389020.1
		Niben261Chr04g1848005.1
		Niben261Chr01g0856001.1
		Niben261Chr15g1466012.1
		Niben261Chr08g1122015.1
		Niben261Chr04g0034002.1
		Niben261Chr11g0723007.1
22h_Down 25h_Down 28h_Down 56h_Down	5	Niben261Chr10g0153013.1
		Niben261Chr05g0898007.1
		Niben261Chr05g0514002.1
		Niben261Chr14g0059009.1
		Niben261Chr12g0883009.1
22h_Down 25h_Down 28h_Down 96h_Down	47	Niben261Chr19g1250015.1
		Niben261Chr12g0774003.1
		Niben261Scf01441g0000001.1
		Niben261Chr17g1088002.1
		Niben261Chr04g1704008.1
		Niben261Chr19g1427018.1
		Niben261Chr07g1501006.1
		Niben261Chr05g1193006.1
		Niben261Scf00996g0000002.1
		Niben261Chr03g0173018.1
		Niben261Chr19g0081001.1
		Niben261Chr10g0871014.1
		Niben261Chr16g0336001.1
		Niben261Chr17g1112002.1
		Niben261Chr08g0024015.1
		Niben261Chr09g0776019.1
		Niben261Chr03g0764001.1
		Niben261Chr13g0941017.1
		Niben261Chr16g1264006.1
		Niben261Scf15218g0000001.1
		Niben261Chr16g0104002.1
		Niben261Chr03g1612003.1
		Niben261Chr11g1055001.1
		Niben261Chr09g0303005.1
		Niben261Chr18g1223015.1
		Niben261Chr08g0748001.1
		Niben261Chr01g1565004.1
		Niben261Chr12g0429008.1
		Niben261Chr05g0898010.1
		Niben261Chr19g0863001.1
		Niben261Chr06g0415009.1
		Niben261Chr14g1147007.1
		Niben261Chr02g1465001.1
		Niben261Chr08g0095008.1
		Niben261Chr04g0126015.1
		Niben261Chr10g1078023.1
		Niben261Chr11g0991011.1
		Niben261Chr16g0537003.1
		Niben261Chr08g0228001.1
		Niben261Chr02g0650001.1
		Niben261Chr05g0878009.1
		Niben261Chr03g0913009.1
		Niben261Chr09g0031001.1
		Niben261Chr04g1847002.1
		Niben261Chr01g0971006.1
		Niben261Chr05g1185017.1
		Niben261Chr03g1444003.1
22h_Down 25h_Down 34h_Down 40h_Down	2	Niben261Chr13g0029024.1
		Niben261Chr02g1456006.1
22h_Down 25h_Down 34h_Down 46h_Down	1	Niben261Chr15g1078001.1
22h_Down 25h_Down 37h_Down 40h_Down	1	Niben261Chr04g0004011.1
22h_Down 25h_Down 37h_Down 96h_Down	1	Niben261Chr19g0944003.1
22h_Down 25h_Down 40h_Down 46h_Down	4	Niben261Chr01g0036001.1
		Niben261Chr11g0968002.1
		Niben261Chr06g0499001.1
		Niben261Chr06g0598002.1
22h_Down 25h_Down 40h_Down 56h_Down	2	Niben261Chr13g1223009.1
		Niben261Chr01g1350001.1
22h_Down 25h_Down 40h_Down 96h_Down	2	Niben261Chr03g0044013.1
