Name	pcrtBAA_vs_GFPAA_filtered
Niben261Chr01g1703002.1	-1,03189519444735
Niben261Chr09g0597014.1	-0,833983089722744
Niben261Chr06g0667008.1	-1,33973498605388
Niben261Chr04g1642008.1	-0,732419519705041
Niben261Chr08g0314003.1	-1,49552284729067
Niben261Chr02g0458003.1	-1,82582106393206
Niben261Chr15g0351012.1	-1,19411512186722
Niben261Chr15g1512008.1	-1,38059068221029
Niben261Chr15g0345002.1	-1,74127996563447
Niben261Chr07g0773001.1	-0,645920711311491
Niben261Chr06g1082010.1	0,956006269350043
Niben261Chr10g0359011.1	-1,84637711560903
Niben261Chr03g1559003.1	-0,872655456835214
Niben261Chr05g0525004.1	0,886824451980396
Niben261Chr04g1885023.1	1,17939612569694
Niben261Chr03g1073014.1	-1,12719130767288
Niben261Chr11g1310006.1	-1,75912342650918
Niben261Chr10g0411002.1	-1,39487395345633
Niben261Chr01g1778008.1	-0,909039597157617
Niben261Chr02g0068004.1	-1,97804459213084
Niben261Chr07g1484020.1	-0,756654788798357
Niben261Chr15g1513002.1	-1,47823618681422
Niben261Chr09g0572016.1	0,733339142405922
Niben261Chr14g1035003.1	-1,30365759070763
Niben261Chr16g0398018.1	-0,79466762424071
Niben261Chr14g0887005.1	0,89077753519517
Niben261Chr03g1215010.1	-1,6280570635964
Niben261Scf02466g0000004.1	-0,827366873961108
Niben261Chr06g0267017.1	-1,25233339871605
Niben261Chr01g1256009.1	-0,773387409353718
Niben261Chr16g1258002.1	2,5728298351156
Niben261Chr07g0656003.1	1,26433767075184
Niben261Chr12g0901006.1	-1,04560016794707
Niben261Chr05g0859004.1	-1,83054393371627
Niben261Chr01g1061003.1	0,687288608904791
Niben261Chr06g0357003.1	-1,61796257297106
Niben261Chr12g0605007.1	-2,53666846506782
Niben261Chr13g0280004.1	-0,916516986489943
Niben261Chr12g0344003.1	1,16577470575018
Niben261Chr09g1281028.1	-0,836288074268149
Niben261Chr10g1250004.1	-0,947383574912297
Niben261Chr16g0945025.1	-1,1310422759115
Niben261Chr04g0658001.1	-1,09502656118396
Niben261Chr05g0034002.1	0,889589421504356
Niben261Chr07g1469004.1	-0,972930571593873
Niben261Chr19g0793002.1	-0,89549534200035
Niben261Chr16g1420015.1	-0,958257432645804
Niben261Chr18g0060001.1	-1,18124576131421
Niben261Chr10g0038002.1	0,906422391062614
Niben261Chr15g0589001.1	-1,50631699241889
Niben261Chr15g0563002.1	-1,63431276944339
Niben261Chr14g1264002.1	-1,06562842721865
Niben261Chr06g1410008.1	-2,08864717958707
Niben261Chr19g1350012.1	-1,51901675007481
Niben261Chr01g0653017.1	0,87297276747753
Niben261Chr05g0600010.1	-1,01527411045178
Niben261Chr15g1048001.1	-2,38989311059058
Niben261Chr12g1569020.1	-3,15416108209482
Niben261Chr14g1485005.1	-0,72633009835082
Niben261Chr15g1405003.1	-2,10927782948172
Niben261Chr10g0254012.1	-1,12783328469046
Niben261Chr02g0902027.1	0,654692906119901
