Name	pcrtBDD_vs_GFPDD_filtered
Niben261Chr09g1169009.1	2,47703871068224
Niben261Chr12g0049014.1	0,733956159744786
Niben261Chr02g0629001.1	-0,807619407260887
Niben261Chr01g1772004.1	2,03027007459195
Niben261Chr14g1523006.1	-2,65210016063917
Niben261Chr11g0277003.1	-0,813038474949469
Niben261Chr06g0806002.1	0,746658391892821
Niben261Chr15g1255009.1	-0,633359309997705
Niben261Chr04g0951015.1	-2,09564975481928
Niben261Chr18g1157005.1	1,17558503471598
Niben261Chr06g0416009.1	0,748932392316026
Niben261Chr02g0809005.1	-1,47686737287468
Niben261Chr01g0670002.1	2,31376840728095
Niben261Chr08g1059001.1	0,78516395181502
Niben261Chr16g1121001.1	1,0720438264164
Niben261Chr01g0877001.1	-0,874532536198858
Niben261Chr17g1207004.1	-4,51945133211167
Niben261Chr01g1032007.1	-0,595585640667823
